"","SpeciesName","AccNum","SeqName","SeqLen"
"50","Delphinapterus leucas","XM_030764031.1","PREDICTED:_Delphinapterus_leucas_enamelin_(ENAM),_mRNA","2841"
"51","Monodon monoceros","XM_029235537.1","PREDICTED:_Monodon_monoceros_enamelin_(ENAM),_mRNA","4848"
"52","Physeter macrocephalus","XM_007118665.2","PREDICTED:_Physeter_macrocephalus_enamelin_(ENAM),_mRNA","3889"
"53","Kogia breviceps","XM_067036247.1","PREDICTED:_Kogia_breviceps_enamelin_(ENAM),_mRNA","3450"
"54","Kogia sima","OK391141.1","Kogia_sima_ENAM_(ENAM)_pseudogene,_exons_7_and_8_and_partial_sequence","5969"
"55","Berardius arnuxii",NA,NA,NA
"56","Berardius bairdii",NA,NA,NA
"57","Ziphius cavirostris","JF701656.1","Ziphius_cavirostris_voucher_SWFSC_Z2157_enamelin_(ENAM)_gene,_partial_cds","533"
"58","Tasmacetus shepherdi",NA,NA,NA
"59","Indopacetus pacificus",NA,NA,NA
"60","Hyperoodon ampullatus",NA,NA,NA
"61","Hyperoodon planifrons",NA,NA,NA
"62","Mesoplodon hectori",NA,NA,NA
"63","Mesoplodon mirus",NA,NA,NA
"64","Mesoplodon europaeus",NA,NA,NA
"65","Mesoplodon ginkgodens",NA,NA,NA
"66","Mesoplodon grayi",NA,NA,NA
"67","Mesoplodon carlhubbsi",NA,NA,NA
"68","Mesoplodon bowdoini",NA,NA,NA
"69","Mesoplodon stejnegeri",NA,NA,NA
"70","Mesoplodon bidens","GQ354853.1","Mesoplodon_bidens_enamelin_(ENAM)_gene,_exon_10_and_partial_cds","2752"
"71","Mesoplodon layardii",NA,NA,NA
"72","Mesoplodon densirostris","XM_060092482.1","PREDICTED:_Mesoplodon_densirostris_enamelin_(ENAM),_mRNA","3441"
"73","Eschrichtius robustus","XM_068542172.1","PREDICTED:_Eschrichtius_robustus_enamelin_(ENAM),_mRNA","3438"
"74","Balaenoptera acutorostrata","XM_007193564.2","PREDICTED:_Balaenoptera_acutorostrata_enamelin_(ENAM),_mRNA","3438"
"75","Balaenoptera edeni","EU445055.1","Balaenoptera_edeni_ENAM_(ENAM)_gene,_partial_cds","533"
"76","Balaenoptera borealis","EU445054.1","Balaenoptera_borealis_ENAM_(ENAM)_gene,_partial_cds","533"
"77","Balaenoptera physalus","EU445052.1","Balaenoptera_physalus_ENAM_(ENAM)_gene,_partial_cds","533"
"78","Balaenoptera musculus","XM_036852036.1","PREDICTED:_Balaenoptera_musculus_enamelin_(ENAM),_mRNA","3444"
"79","Megaptera novaeangliae","GQ354842.1","Megaptera_novaeangliae_ENAM_pseudogene,_exon_10","2738"
"80","Balaena mysticetus","EU445060.1","Balaena_mysticetus_ENAM_(ENAM)_gene,_partial_cds","533"
"81","Caperea marginata","OK282857.1","Caperea_marginata_ENAM_(ENAM)_pseudogene,_complete_sequence","4297"
"82","Eubalaena glacialis","XM_061191439.1","PREDICTED:_Eubalaena_glacialis_enamelin_(ENAM),_mRNA","3444"
"83","Stenella frontalis",NA,NA,NA
"84","Globicephala melas","XM_030877801.2","PREDICTED:_Globicephala_melas_enamelin_(ENAM),_mRNA","2936"
"85","Eubalaena australis","GQ354841.1","Eubalaena_australis_ENAM_pseudogene,_exon_10","2752"
"86","Mesoplodon peruvianus",NA,NA,NA
"87","Eubalaena japonica","EU445062.1","Eubalaena_japonica_ENAM_(ENAM)_gene,_partial_cds","533"
"88","Balaenoptera bonaerensis","EU445056.1","Balaenoptera_bonaerensis_ENAM_pseudogene,_partial_sequence","526"
"89","Sousa plumbea",NA,NA,NA
"90","Tursiops aduncus",NA,NA,NA
"91","Mesoplodon traversii",NA,NA,NA
"92","Mesoplodon perrini",NA,NA,NA
"93","Balaenoptera omurai",NA,NA,NA
"94","Sotalia guianensis",NA,NA,NA
"95","Mesoplodon hotaula",NA,NA,NA
"96","Orcaella heinsohni",NA,NA,NA
"97","Hexaprotodon liberiensis","EU445067.1","Hexaprotodon_liberiensis_ENAM_(ENAM)_gene,_partial_cds","533"
"98","Hexaprotodon madagascariensis",NA,NA,NA
"99","Hippopotamus amphibius","XM_057729218.1","PREDICTED:_Hippopotamus_amphibius_kiboko_enamelin_(ENAM),_mRNA","3895"
"100","Hippopotamus lemerlei",NA,NA,NA
"101","Hippopotamus laloumena",NA,NA,NA
