"","SpeciesName","AccNum","SeqName","SeqLen"
"50","Delphinapterus leucas","GQ354848.1","Delphinapterus leucas enamelin (ENAM) gene, exon 10 and partial cds","2755"
"51","Monodon monoceros",NA,NA,NA
"52","Physeter macrocephalus","GQ354847.1","Physeter catodon enamelin (ENAM) gene, exon 10 and partial cds","2752"
"53","Kogia breviceps","GQ354846.1","Kogia breviceps ENAM pseudogene, exon 10","2749"
"54","Kogia sima","OK391141.1","Kogia sima ENAM (ENAM) pseudogene, exons 7 and 8 and partial sequence","5969"
"55","Berardius arnuxii",NA,NA,NA
"56","Berardius bairdii",NA,NA,NA
"57","Ziphius cavirostris","JF701656.1","Ziphius cavirostris voucher SWFSC Z2157 enamelin (ENAM) gene, partial cds","533"
"58","Tasmacetus shepherdi",NA,NA,NA
"59","Indopacetus pacificus",NA,NA,NA
"60","Hyperoodon ampullatus",NA,NA,NA
"61","Hyperoodon planifrons",NA,NA,NA
"62","Mesoplodon hectori",NA,NA,NA
"63","Mesoplodon mirus",NA,NA,NA
"64","Mesoplodon europaeus",NA,NA,NA
"65","Mesoplodon ginkgodens",NA,NA,NA
"66","Mesoplodon grayi",NA,NA,NA
"67","Mesoplodon carlhubbsi",NA,NA,NA
"68","Mesoplodon bowdoini",NA,NA,NA
"69","Mesoplodon stejnegeri",NA,NA,NA
"70","Mesoplodon bidens","GQ354853.1","Mesoplodon bidens enamelin (ENAM) gene, exon 10 and partial cds","2752"
"71","Mesoplodon layardii",NA,NA,NA
"72","Mesoplodon densirostris",NA,NA,NA
"73","Eschrichtius robustus","GQ354844.1","Eschrichtius robustus ENAM pseudogene, exon 10","2745"
"74","Balaenoptera acutorostrata","EU445057.1","Balaenoptera acutorostrata ENAM pseudogene, partial sequence","526"
"75","Balaenoptera edeni","EU445055.1","Balaenoptera edeni ENAM (ENAM) gene, partial cds","533"
"76","Balaenoptera borealis","EU445054.1","Balaenoptera borealis ENAM (ENAM) gene, partial cds","533"
"77","Balaenoptera physalus","EU445052.1","Balaenoptera physalus ENAM (ENAM) gene, partial cds","533"
"78","Balaenoptera musculus","EU445053.1","Balaenoptera musculus ENAM pseudogene, partial sequence","532"
"79","Megaptera novaeangliae","GQ354842.1","Megaptera novaeangliae ENAM pseudogene, exon 10","2738"
"80","Balaena mysticetus","EU445060.1","Balaena mysticetus ENAM (ENAM) gene, partial cds","533"
"81","Caperea marginata","OK282857.1","Caperea marginata ENAM (ENAM) pseudogene, complete sequence","4297"
"82","Eubalaena glacialis","GQ354840.1","Eubalaena glacialis ENAM pseudogene, exon 10","2738"
"83","Stenella frontalis",NA,NA,NA
"84","Globicephala melas",NA,NA,NA
"85","Eubalaena australis","GQ354841.1","Eubalaena australis ENAM pseudogene, exon 10","2752"
"86","Mesoplodon peruvianus",NA,NA,NA
"87","Eubalaena japonica","EU445062.1","Eubalaena japonica ENAM (ENAM) gene, partial cds","533"
"88","Balaenoptera bonaerensis","EU445056.1","Balaenoptera bonaerensis ENAM pseudogene, partial sequence","526"
"89","Sousa plumbea",NA,NA,NA
"90","Tursiops aduncus",NA,NA,NA
"91","Mesoplodon traversii",NA,NA,NA
"92","Mesoplodon perrini",NA,NA,NA
"93","Balaenoptera omurai",NA,NA,NA
"94","Sotalia guianensis",NA,NA,NA
"95","Mesoplodon hotaula",NA,NA,NA
"96","Orcaella heinsohni",NA,NA,NA
