"","SpeciesName","AccNum","SeqName","SeqLen"
"67","Mesoplodon carlhubbsi",NA,NA,NA
"68","Mesoplodon bowdoini",NA,NA,NA
"69","Mesoplodon stejnegeri",NA,NA,NA
"70","Mesoplodon bidens",NA,NA,NA
"71","Mesoplodon layardii",NA,NA,NA
"72","Mesoplodon densirostris","XM_060096826.1","PREDICTED:_Mesoplodon_densirostris_casein_beta_(CSN2),_mRNA","813"
"73","Eschrichtius robustus","XM_068541978.1","PREDICTED:_Eschrichtius_robustus_casein_beta_(CSN2),_mRNA","813"
"74","Balaenoptera acutorostrata","XM_057546306.1","PREDICTED:_Balaenoptera_acutorostrata_casein_beta_(CSN2),_mRNA","812"
"75","Balaenoptera edeni","EU444895.1","Balaenoptera_edeni_CSN2_(CSN2)_gene,_partial_cds","424"
"76","Balaenoptera borealis","EU444894.1","Balaenoptera_borealis_CSN2_(CSN2)_gene,_partial_cds","424"
"77","Balaenoptera physalus","EU444892.1","Balaenoptera_physalus_CSN2_(CSN2)_gene,_partial_cds","424"
"78","Balaenoptera musculus","XM_036853046.1","PREDICTED:_Balaenoptera_musculus_casein_beta_(CSN2),_transcript_variant_X2,_mRNA","1137"
"79","Megaptera novaeangliae","JF701640.1","Megaptera_novaeangliae_voucher_SWFSC_Z11727_beta-casein_(CSN2)_gene,_exon_7_and_partial_cds","585"
"80","Balaena mysticetus","EU444900.1","Balaena_mysticetus_CSN2_(CSN2)_gene,_partial_cds","424"
"81","Caperea marginata","JF701642.1","Caperea_marginata_voucher_SWFSC_Z26572_beta-casein_(CSN2)_gene,_exon_7_and_partial_cds","574"
"82","Eubalaena glacialis","XM_061191016.1","PREDICTED:_Eubalaena_glacialis_casein_beta_(CSN2),_mRNA","813"
"83","Stenella frontalis",NA,NA,NA
"84","Globicephala melas","XM_030880736.2","PREDICTED:_Globicephala_melas_casein_beta_(CSN2),_mRNA","813"
"85","Eubalaena australis",NA,NA,NA
"86","Mesoplodon peruvianus","JF701639.1","Mesoplodon_peruvianus_beta-casein_(CSN2)_gene,_exon_7_and_partial_cds","584"
"87","Eubalaena japonica","EU444901.1","Eubalaena_japonica_CSN2_(CSN2)_gene,_partial_cds","424"
"88","Balaenoptera bonaerensis","EU444896.1","Balaenoptera_bonaerensis_CSN2_(CSN2)_gene,_partial_cds","424"
"89","Sousa plumbea",NA,NA,NA
"90","Tursiops aduncus","JF504856.1","Tursiops_aduncus_voucher_SWFSC_Z4172_beta-casein_(CSN2)_gene,_partial_cds","424"
"91","Mesoplodon traversii",NA,NA,NA
"92","Mesoplodon perrini",NA,NA,NA
"93","Balaenoptera omurai",NA,NA,NA
"94","Sotalia guianensis",NA,NA,NA
"95","Mesoplodon hotaula",NA,NA,NA
"96","Orcaella heinsohni",NA,NA,NA
"97","Hexaprotodon liberiensis",NA,NA,NA
"98","Hexaprotodon madagascariensis",NA,NA,NA
"99","Hippopotamus amphibius","XM_057726918.1","PREDICTED:_Hippopotamus_amphibius_kiboko_casein_beta_(CSN2),_mRNA","936"
"100","Hippopotamus lemerlei",NA,NA,NA
"101","Hippopotamus laloumena",NA,NA,NA
