"","SpeciesName","AccNum","SeqName","SeqLen"
"27","Lagenorhynchus obliquidens","HQ873589.1","Lagenorhynchus_obliquidens_voucher_SWFSC_Z25409_microcephalin_(MCPH1)_gene,_exon_8_and_partial_cds","1221"
"28","Lagenorhynchus obscurus","HQ873588.1","Lagenorhynchus_obscurus_voucher_SWFSC_Z37807_microcephalin_(MCPH1)_gene,_exon_8_and_partial_cds","1221"
"29","Lagenorhynchus australis",NA,NA,NA
"30","Lagenorhynchus cruciger",NA,NA,NA
"31","Cephalorhynchus commersonii","HQ873590.1","Cephalorhynchus_commersonii_voucher_SWFSC_Z480_microcephalin_(MCPH1)_gene,_exon_8_and_partial_cds","1221"
"32","Cephalorhynchus eutropia",NA,NA,NA
"33","Cephalorhynchus heavisidii",NA,NA,NA
"34","Cephalorhynchus hectori",NA,NA,NA
"35","Lissodelphis borealis","HQ873591.1","Lissodelphis_borealis_voucher_SWFSC_Z39099_microcephalin_(MCPH1)_gene,_exon_8_and_partial_cds","1221"
"36","Lissodelphis peronii",NA,NA,NA
"37","Grampus griseus","KY011994.1","Grampus_griseus_isolate_M6_microcephalin_1_(MCPH1)_pseudogene,_partial_sequence","3538"
"38","Peponocephala electra","HQ873596.1","Peponocephala_electra_voucher_SWFSC_Z34003_microcephalin_(MCPH1)_gene,_exon_8_and_partial_cds","1224"
"39","Feresa attenuata","HQ873594.1","Feresa_attenuata_voucher_SWFSC_Z3944_microcephalin_(MCPH1)_gene,_exon_8_and_partial_cds","1191"
"40","Pseudorca crassidens","XM_067721972.1","PREDICTED:_Pseudorca_crassidens_microcephalin_1_(MCPH1),_transcript_variant_X4,_mRNA","2198"
"41","Globicephala macrorhynchus","HQ873597.1","Globicephala_macrorhynchus_voucher_SWFSC_Z39091_microcephalin_(MCPH1)_gene,_exon_8_and_partial_cds","1224"
"42","Orcinus orca","HQ873586.1","Orcinus_orca_voucher_SWFSC_Z6004_microcephalin_(MCPH1)_gene,_exon_8_and_partial_cds","1224"
"43","Orcaella brevirostris",NA,NA,NA
"44","Phocoena phocoena","XM_065899863.1","PREDICTED:_Phocoena_phocoena_microcephalin_1_(MCPH1),_mRNA","2487"
"45","Phocoena sinus","XM_032618443.1","PREDICTED:_Phocoena_sinus_microcephalin_1_(MCPH1),_transcript_variant_X2,_mRNA","3035"
"46","Phocoena dioptrica",NA,NA,NA
"47","Phocoena spinipinnis",NA,NA,NA
"48","Neophocaena phocaenoides","KY011995.1","Neophocaena_phocaenoides_isolate_M7_MCPH1_(MCPH1)_gene,_exons_1_through_12_and_partial_cds","3539"
"49","Phocoenoides dalli","HQ873582.1","Phocoenoides_dalli_voucher_SWFSC_Z38979_microcephalin_(MCPH1)_gene,_exon_8_and_partial_cds","1224"
"50","Delphinapterus leucas","XR_002644157.2","PREDICTED:_Delphinapterus_leucas_microcephalin_1_(MCPH1),_transcript_variant_X7,_misc_RNA","1574"
"51","Monodon monoceros","XM_029226314.1","PREDICTED:_Monodon_monoceros_microcephalin_1_(MCPH1),_mRNA","2719"
"52","Physeter macrocephalus","XM_055080957.1","PREDICTED:_Physeter_macrocephalus_microcephalin_1_(MCPH1),_transcript_variant_X2,_mRNA","2744"
"53","Kogia breviceps","XM_067022552.1","PREDICTED:_Kogia_breviceps_microcephalin_1_(MCPH1),_mRNA","4492"
"54","Kogia sima","KY011999.1","Kogia_sima_isolate_M11_MCPH1_pseudogene,_partial_sequence","3212"
"55","Berardius arnuxii",NA,NA,NA
"56","Berardius bairdii","HQ873574.1","Berardius_bairdii_voucher_SWFSC_Z4963_microcephalin_(MCPH1)_gene,_exon_8_and_partial_cds","1221"
"57","Ziphius cavirostris","HQ873575.1","Ziphius_cavirostris_voucher_SWFSC_Z2157_microcephalin_(MCPH1)_gene,_exon_8_and_partial_cds","757"
"58","Tasmacetus shepherdi",NA,NA,NA
"59","Indopacetus pacificus",NA,NA,NA
"60","Hyperoodon ampullatus",NA,NA,NA
"61","Hyperoodon planifrons",NA,NA,NA
"62","Mesoplodon hectori",NA,NA,NA
"63","Mesoplodon mirus",NA,NA,NA
"64","Mesoplodon europaeus",NA,NA,NA
"65","Mesoplodon ginkgodens",NA,NA,NA
"66","Mesoplodon grayi",NA,NA,NA
"67","Mesoplodon carlhubbsi",NA,NA,NA
"68","Mesoplodon bowdoini",NA,NA,NA
"69","Mesoplodon stejnegeri",NA,NA,NA
"70","Mesoplodon bidens","HQ873576.1","Mesoplodon_bidens_voucher_SWFSC_Z3859_microcephalin_(MCPH1)_gene,_exon_8_and_partial_cds","757"
"71","Mesoplodon layardii",NA,NA,NA
"72","Mesoplodon densirostris","XR_009530787.1","PREDICTED:_Mesoplodon_densirostris_microcephalin_1_(MCPH1),_transcript_variant_X4,_misc_RNA","2300"
"73","Eschrichtius robustus","XM_068532036.1","PREDICTED:_Eschrichtius_robustus_microcephalin_1_(MCPH1),_transcript_variant_X6,_mRNA","2489"
"74","Balaenoptera acutorostrata","XM_057537235.1","PREDICTED:_Balaenoptera_acutorostrata_microcephalin_1_(MCPH1),_transcript_variant_X7,_mRNA","3050"
"75","Balaenoptera edeni",NA,NA,NA
"76","Balaenoptera borealis",NA,NA,NA
"77","Balaenoptera physalus","HQ873570.1","Balaenoptera_physalus_microcephalin_(MCPH1)_gene,_exon_8_and_partial_cds","1166"
"78","Balaenoptera musculus","XM_036838457.1","PREDICTED:_Balaenoptera_musculus_microcephalin_1_(MCPH1),_transcript_variant_X8,_mRNA","2463"
"79","Megaptera novaeangliae","HQ873571.1","Megaptera_novaeangliae_voucher_SWFSC_Z11727_microcephalin_(MCPH1)_gene,_exon_8_and_partial_cds","1166"
"80","Balaena mysticetus",NA,NA,NA
"81","Caperea marginata",NA,NA,NA
"82","Eubalaena glacialis","XM_061177356.1","PREDICTED:_Eubalaena_glacialis_microcephalin_1_(MCPH1),_transcript_variant_X8,_mRNA","2639"
"83","Stenella frontalis",NA,NA,NA
"84","Globicephala melas","XM_070044625.1","PREDICTED:_Globicephala_melas_microcephalin_1_(MCPH1),_transcript_variant_X3,_mRNA","2092"
"85","Eubalaena australis",NA,NA,NA
"86","Mesoplodon peruvianus",NA,NA,NA
"87","Eubalaena japonica",NA,NA,NA
"88","Balaenoptera bonaerensis",NA,NA,NA
"89","Sousa plumbea",NA,NA,NA
"90","Tursiops aduncus","KY011991.1","Tursiops_aduncus_isolate_M3_MCPH1_(MCPH1)_gene,_exons_1_through_12_and_partial_cds","3539"
"91","Mesoplodon traversii",NA,NA,NA
"92","Mesoplodon perrini",NA,NA,NA
"93","Balaenoptera omurai","KY012001.1","Balaenoptera_omurai_isolate_M13_MCPH1_(MCPH1)_gene,_exons_1_through_12_and_partial_cds","3548"
"94","Sotalia guianensis",NA,NA,NA
"95","Mesoplodon hotaula",NA,NA,NA
"96","Orcaella heinsohni",NA,NA,NA
"97","Hexaprotodon liberiensis",NA,NA,NA
"98","Hexaprotodon madagascariensis",NA,NA,NA
"99","Hippopotamus amphibius","XM_057697003.1","PREDICTED:_Hippopotamus_amphibius_kiboko_microcephalin_1_(MCPH1),_transcript_variant_X6,_mRNA","1762"
"100","Hippopotamus lemerlei",NA,NA,NA
"101","Hippopotamus laloumena",NA,NA,NA
