"","taxid","speciesname","accnum","seqname","seqlen"
"178","34890","Phocoena dioptrica",NA,NA,NA
"179","33556","Balaenoptera bonaerensis",NA,NA,NA
"180","30558","Balaenidae","XM_061197625.1","PREDICTED: Eubalaena glacialis solute carrier family 26 member 5 (SLC26A5), transcript variant X3, mRNA","1344"
"181","30557","Balaenoptera sp.",NA,NA,NA
"182","29074","Stenella plagiodon",NA,NA,NA
"183","27617","Mesoplodon peruvianus",NA,NA,NA
"184","27616","Mesoplodon europaeus",NA,NA,NA
"185","27615","Kogia breviceps","XM_067041698.1","PREDICTED: Kogia breviceps solute carrier family 26 member 5 (SLC26A5), transcript variant X5, mRNA","1344"
"186","27614","Phocoena spinipinnis",NA,NA,NA
"187","27613","Lissodelphis peronii",NA,NA,NA
"188","27612","Lissodelphis",NA,NA,NA
"189","27610","Lagenorhynchus albirostris","NC_083102.1","Lagenorhynchus albirostris chromosome 8, mLagAlb1.1, whole genome shotgun sequence","110721866"
"190","27609","Lagenorhynchus","NC_083102.1","Lagenorhynchus albirostris chromosome 8, mLagAlb1.1, whole genome shotgun sequence","110721866"
"191","27608","Cephalorhynchus eutropia",NA,NA,NA
"192","27607","Cephalorhynchus",NA,NA,NA
"193","27606","Eubalaena glacialis","XM_061197625.1","PREDICTED: Eubalaena glacialis solute carrier family 26 member 5 (SLC26A5), transcript variant X3, mRNA","1344"
"194","27605","Eubalaena","XM_061197625.1","PREDICTED: Eubalaena glacialis solute carrier family 26 member 5 (SLC26A5), transcript variant X3, mRNA","1344"
"195","27604","Caperea marginata",NA,NA,NA
"196","27603","Caperea",NA,NA,NA
"197","27602","Balaena mysticetus","GU217588.1","Balaena mysticetus prestin (SLC26A5) gene, partial cds","152"
"198","27601","Balaena","GU217588.1","Balaena mysticetus prestin (SLC26A5) gene, partial cds","152"
"199","9773","Megaptera novaeangliae","GU219841.1","Megaptera novaeangliae prestin (SLC26A5) gene, complete cds","3926"
"200","9772","Megaptera","GU219841.1","Megaptera novaeangliae prestin (SLC26A5) gene, complete cds","3926"
"201","9771","Balaenoptera musculus","XM_036863526.1","PREDICTED: Balaenoptera musculus solute carrier family 26 member 5 (SLC26A5), transcript variant X2, mRNA","2293"
"202","9770","Balaenoptera physalus","GU219838.1","Balaenoptera physalus prestin (SLC26A5) gene, complete cds","3926"
"203","9769","Balaenoptera edeni",NA,NA,NA
"204","9768","Balaenoptera borealis",NA,NA,NA
"205","9767","Balaenoptera acutorostrata","XM_007177315.2","PREDICTED: Balaenoptera acutorostrata solute carrier family 26 member 5 (SLC26A5), transcript variant X2, mRNA","2312"
"206","9766","Balaenoptera","XM_059932876.1","PREDICTED: Balaenoptera ricei solute carrier family 26 member 5 (SLC26A5), transcript variant X3, mRNA","4809"
"207","9765","Balaenopteridae","XM_059932876.1","PREDICTED: Balaenoptera ricei solute carrier family 26 member 5 (SLC26A5), transcript variant X3, mRNA","4809"
"208","9764","Eschrichtius robustus","XM_068549921.1","PREDICTED: Eschrichtius robustus solute carrier family 26 member 5 (SLC26A5), transcript variant X2, mRNA","2130"
"209","9763","Eschrichtius","XM_068549921.1","PREDICTED: Eschrichtius robustus solute carrier family 26 member 5 (SLC26A5), transcript variant X2, mRNA","2130"
"210","9762","Eschrichtiidae","XM_068549921.1","PREDICTED: Eschrichtius robustus solute carrier family 26 member 5 (SLC26A5), transcript variant X2, mRNA","2130"
"211","9760","Ziphius cavirostris","HQ176007.1","Ziphius cavirostris prestin (SLC26A5) gene, complete cds","3926"
"212","9759","Ziphius","HQ176007.1","Ziphius cavirostris prestin (SLC26A5) gene, complete cds","3926"
"213","9758","Mesoplodon carlhubbsi",NA,NA,NA
"214","9757","Mesoplodon","XM_060107594.1","PREDICTED: Mesoplodon densirostris solute carrier family 26 member 5 (SLC26A5), transcript variant X2, mRNA","3419"
"215","9756","Ziphiidae","XM_060107594.1","PREDICTED: Mesoplodon densirostris solute carrier family 26 member 5 (SLC26A5), transcript variant X2, mRNA","3419"
"216","9755","Physeter macrocephalus","XM_028490155.2","PREDICTED: Physeter macrocephalus solute carrier family 26 member 5 (SLC26A5), transcript variant X3, mRNA","7099"
"217","9753","Physeter","XM_028490155.2","PREDICTED: Physeter macrocephalus solute carrier family 26 member 5 (SLC26A5), transcript variant X3, mRNA","7099"
"218","9752","Kogia sima",NA,NA,NA
"219","9751","Kogia","XM_067041698.1","PREDICTED: Kogia breviceps solute carrier family 26 member 5 (SLC26A5), transcript variant X5, mRNA","1344"
"220","9750","Physeteridae","XM_028490155.2","PREDICTED: Physeter macrocephalus solute carrier family 26 member 5 (SLC26A5), transcript variant X3, mRNA","7099"
"221","9749","Delphinapterus leucas","NW_022098009.1","Delphinapterus leucas isolate GAN/ISIS: 26980492/103006 unplaced genomic scaffold, ASM228892v3 scaffoldscaffold18, whole genome shotgun sequence","25496103"
"222","9748","Delphinapterus","NW_022098009.1","Delphinapterus leucas isolate GAN/ISIS: 26980492/103006 unplaced genomic scaffold, ASM228892v3 scaffoldscaffold18, whole genome shotgun sequence","25496103"
"223","9747","Monodontidae","NW_022098009.1","Delphinapterus leucas isolate GAN/ISIS: 26980492/103006 unplaced genomic scaffold, ASM228892v3 scaffoldscaffold18, whole genome shotgun sequence","25496103"
"224","9745","Phocoenoides dalli dalli",NA,NA,NA
"225","9744","Phocoenoides dalli",NA,NA,NA
"226","9743","Phocoenoides",NA,NA,NA
"227","9742","Phocoena phocoena","XM_065884126.1","PREDICTED: Phocoena phocoena solute carrier family 26 member 5 (SLC26A5), transcript variant X3, mRNA","1344"
"228","9741","Phocoena","XM_065884126.1","PREDICTED: Phocoena phocoena solute carrier family 26 member 5 (SLC26A5), transcript variant X3, mRNA","1344"
"229","9740","Phocoenidae","XM_065884126.1","PREDICTED: Phocoena phocoena solute carrier family 26 member 5 (SLC26A5), transcript variant X3, mRNA","1344"
"230","9739","Tursiops truncatus","XM_004320267.4","PREDICTED: Tursiops truncatus solute carrier family 26 member 5 (SLC26A5), mRNA","7278"
"231","9738","Tursiops","XM_004320267.4","PREDICTED: Tursiops truncatus solute carrier family 26 member 5 (SLC26A5), mRNA","7278"
"232","9737","Stenella coeruleoalba",NA,NA,NA
"233","9736","Stenella longirostris",NA,NA,NA
"234","9735","Stenella attenuata",NA,NA,NA
"235","9734","Stenella",NA,NA,NA
"236","9733","Orcinus orca","XM_033439554.2","PREDICTED: Orcinus orca solute carrier family 26 member 5 (SLC26A5), mRNA","7106"
"237","9732","Orcinus","XM_033439554.2","PREDICTED: Orcinus orca solute carrier family 26 member 5 (SLC26A5), mRNA","7106"
"238","9731","Globicephala melas","XM_060305053.1","PREDICTED: Globicephala melas solute carrier family 26 member 5 (SLC26A5), transcript variant X3, mRNA","1344"
"239","9729","Globicephala","XM_060305053.1","PREDICTED: Globicephala melas solute carrier family 26 member 5 (SLC26A5), transcript variant X3, mRNA","1344"
"240","9728","Delphinus delphis","XM_060019855.1","PREDICTED: Delphinus delphis solute carrier family 26 member 5 (SLC26A5), transcript variant X3, mRNA","1344"
"241","9727","Delphinus","XM_060019855.1","PREDICTED: Delphinus delphis solute carrier family 26 member 5 (SLC26A5), transcript variant X3, mRNA","1344"
"242","9726","Delphinidae","XM_004320267.4","PREDICTED: Tursiops truncatus solute carrier family 26 member 5 (SLC26A5), mRNA","7278"
"243","9725","Inia geoffrensis",NA,NA,NA
"244","9724","Inia",NA,NA,NA
"245","9723","Platanistidae",NA,NA,NA
"246","9722","Odontoceti","XM_004320267.4","PREDICTED: Tursiops truncatus solute carrier family 26 member 5 (SLC26A5), mRNA","7278"
